"","Aerobic_SOC2","Anaerobic_SOC_Nit_Tet","sensor"
"1","1.05805380568692e-05","0.000418865969611421","C_rodentium_TCS10"
"2","0.719813179735494","0.879474553743747","E_faecalis_TCS2"
"3","0.0438861468540684","0.0645083333675136","C_rodentium_TCS8"
"4","0.815142651006822","0.939509622368834","V_cholera_TCS2"
"5","0.757916083489546","0.967234262209825","B_frag_TCS3"
"6","1.23268824191041","0.721336583543306","B_producta_TCS1"
"7","0.594193859489554","0.821589072796834","C_rodentium_TCS9"
"8","0.0006482665437335","0.00479594684466942","C_rodentium_TCS2"
"9","0.580177804846172","0.673666164020855","Y_enterocolitica_TCS3"
"10","0.0796942699833825","0.0625890405449477","K_pneumonia_TCS3"
"11","0.851009399465735","0.926714006181145","C_rodentium_TCS5"
"12","0.683783730600484","0.956478248392507","K_pneumonia_TCS7"
"13","0.0739245138228544","0.0614017497719141","K_pneumoniae_TCS10"
"14","0","0.790170762939184","E_tarda_TCS7"
"15","0.711174917288317","0.921516364322199","C_rodentium_TCS11"
"16","0.65140352043541","0.999930155288047","V_cholera_TCS4"
"17","0.440332972053596","0.587294328741696","S_enterica_TCS4"
"18","0.043837957804499","0.325281002299895","C_rodentium_TCS7"
"19","0.631203727129623","0.736008135238636","K_oxytoca_TCS1"
"20","0.437199356142978","0.596480687625566","C_rodentium_TCS4"
"21","0","0.384689704835351","yeaR23"
"22","0.918538369647775","0.999806960651582","E_faecalis_TCS3"
"23","0.643595057770203","0.782708753381246","E_tarda_TCS2"
"24","NaN","NaN","NA."
"25","0","0.704358533572416","S_enterica_TCS_ttrSRRIG"
"26","0","0","S_enterica_TCS3"
"27","0","0","S_enterica_TCS1"
"28","0.064633876211808","0.0954032531127099","B_producta_TCS6"
"29","0","0","torC23"
"30","0","0","ynfE15"
"31","0","0","E_tarda_TCS4"
"32","0.0971039815858151","0.446782295665828","K_pneumonia_TCS9"
"33","5.44108609848261e-05","0.000620015341586783","C_rodentium_TCS6"
"34","0","0","C_rodentium_TCS1"
"35","0.267143172809493","0.128719888383975","Y_enterocolitica_TCS5"
"36","0","0","torC17"
"37","1.00068730594929","1.09283122307377","B_producta_TCS12"
"38","0.274759981957483","0.466001243089513","E_tarda_TCS6"
"39","0.14457657172399","0.32602211071867","S_enterica_TCS5"
"40","0","0","ynfE17"
"41","0","0","torCWT"
"42","0.000195261007148645","0","L_gasseri_TCS1"
"43","0.588444135181848","0.820221234686308","L_plantarum_TCS2"
"44","0.516563380303058","0.550396293692727","fabRbc4"
"45","0","0.0102160346657196","K_pneumonia_TCS5"
"46","0","0.00216636868542071","C_rodentium_TCS3"
"47","0","0.00848773205106718","E_tarda_TCS5"
"48","0","0","torC10"
"49","0.545961979800557","0.900168390779683","fabRbc1"
"50","0.00288131109530427","0.00157735600136623","Y_enterocolitica_TCS1"
"51","0.0822300971676806","0.101870908421569","K_pneumonia_TCS4"
"52","0","0","B_frag_TCS2"
"53","0","0","R_gnavus_TCS5"
"54","0.710527310820016","0.780766068925942","B_producta_TCS16"
"55","0","0.00364134310953694","B_caccae_TCS5"
"56","0.511161895403656","0.581240805786462","fabRbc3"
"57","0.418879920566261","0.712176234616853","fabRbc2"
"58","0","0","K_pneumonia_TCS8"
"59","0","0","Y_enterocolitica_TCS2"
"60","0","0","B_theta_TCS2"
"61","0","0","R_gnavus_TCS3"
"62","0.415971032228996","0.667458191978121","B_producta_TCS13"
