"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"ALB","1489447","1270416","1269768","1269811","1268560","1268500"
"AM9","1532413","1305602","1305545","1305560","1305083","1305083"
"AM9Cit50mM","139331","52634","52483","52568","52390","52326"
"AM9Epi50uM","1777969","1515369","1515303","1515351","1514119","1514119"
"AM9Fum20mM","28254","21223","21053","21140","20975","20960"
"AM9HOCl1mM","2287665","1953332","1953229","1953188","1951258","1951255"
"AM9KLim","1916289","1606547","1605777","1606505","1604170","1604115"
"AM9NaCl100mM","2004122","1694926","1694825","1694830","1692132","1692077"
"AM9Nit20mM","9887","6914","6674","6766","6668","6668"
"AM9Nit2mM","1263113","991469","991396","991447","990336","990336"
"AM9pH5","1532562","1299426","1298286","1298445","1296139","1296003"
"AM9POLim","1883554","1608827","1608690","1608697","1607576","1607543"
"AM9Suc8pct","2628179","2242214","2241751","2241920","2239518","2239360"
"AM9Tet100uM","1815000","1536905","1536851","1536856","1535492","1535492"
"AM9Tet10uM","938258","797826","797774","797782","797103","797103"
"AM9Tet1uM","162763","41407","41175","41327","41111","41111"
"ANM9","1751758","1499199","1498233","1499094","1496671","1496671"
"ANM9Cit50mM","1545680","1312022","1311450","1311445","1309088","1309047"
"ANM9Epi50uM","1436019","1104296","1104112","1104254","1101391","1101391"
"ANM9Fum20mM","1734264","1474900","1474818","1474785","1473753","1473753"
"ANM9HOCl1mM","56541","17123","16928","17007","16820","16820"
"ANM9KLim","1652195","1256408","1256001","1256258","1255242","1255237"
"ANM9NaCl100mM","1767191","1502605","1502541","1502401","1501242","1501201"
"ANM9Nit20mM","1707604","1426963","1426903","1426893","1425486","1425486"
"ANM9Nit2mM","1338975","1036446","1036371","1036388","1033779","1033779"
"ANM9pH5","1536012","1221032","1220933","1220893","1218241","1218241"
"ANM9POLim","1179700","1015633","1015587","1015549","1014506","1014506"
"ANM9Suc8pct","2190426","1877342","1877168","1877238","1872362","1872360"
"ANM9Tet100uM","1778280","1461354","1461301","1461298","1458299","1458299"
"ANM9Tet10uM","1946467","1673370","1673232","1673315","1672249","1672249"
"ANM9Tet1uM","1591649","1365575","1365082","1365098","1361101","1361062"
"ANSM9","1569989","1298600","1298425","1298534","1297562","1297532"
"ANSM9Cit50mM","2627079","2199015","2198808","2198824","2196994","2196959"
"ANSM9Epi50uM","1168456","801570","801406","801476","800838","800835"
"ANSM9Fum20mM","2877716","2417536","2417465","2417383","2414769","2414769"
"ANSM9HOCl1mM","2070248","1772644","1772486","1772367","1770119","1769835"
"ANSM9KLim","3899966","3289623","3289342","3289256","3285377","3285245"
"ANSM9NaCl100mM","310196","100921","100771","100868","99006","99006"
"ANSM9Nit20mM","1706335","1412080","1411937","1411989","1410522","1410522"
"ANSM9Nit2mM","1230970","871557","871442","871442","864310","864310"
"ANSM9pH5","4773719","4037243","4037113","4036683","4031698","4031235"
"ANSM9POLim","3037387","2563155","2562981","2562842","2528277","2528036"
"ANSM9Suc8pct","5558834","4712734","4711061","4711824","4700837","4698437"
"ANSM9Tet100uM","1745066","1465949","1465771","1465842","1464896","1464896"
"ANSM9Tet10uM","1953941","1624252","1624214","1624191","1623833","1623833"
"ANSM9Tet1uM","1753232","1469512","1469454","1469424","1468185","1468185"
"ANSOC","700834","507140","507008","507081","506030","506030"
"ANSSOC","1593474","1346474","1346444","1346388","1345802","1345802"
"ASLB","1681284","1430897","1430817","1430775","1429113","1429111"
"ASM9","1867806","1469465","1469301","1469363","1468102","1468041"
"ASM9Cit50mM","2217300","1857100","1857033","1856961","1855132","1855132"
"ASM9Epi50uM","2092429","1726441","1726309","1726270","1724168","1724073"
"ASM9Fum20mM","1845772","1535579","1535225","1535463","1534905","1534812"
"ASM9HOCl1mM","2198200","1868591","1868503","1868479","1865395","1865351"
"ASM9KLim","1589095","1161754","1161654","1161634","1160999","1160936"
"ASM9NaCl100mM","1832416","1560591","1560538","1560556","1559009","1559009"
"ASM9Nit20mM","1511422","1262192","1261415","1261434","1259900","1259652"
"ASM9Nit2mM","2017798","1698760","1698649","1698645","1696568","1696495"
"ASM9pH5","1491863","1262955","1262904","1262902","1257597","1257571"
"ASM9POLim","2040207","1737050","1736977","1737008","1736644","1736644"
"ASM9Suc8pct","1298401","1077102","1077022","1077055","1073872","1073872"
"ASM9Tet100uM","1620143","1357585","1357500","1357462","1356520","1356407"
"ASM9Tet10uM","1460379","1102644","1102565","1102568","1101496","1101470"
"ASM9Tet1uM","2060167","1724972","1724860","1724830","1724326","1724179"
"ASOC","1091219","674357","674194","674319","671678","671678"
"ASSOC","1392006","1185468","1185416","1185432","1185111","1185111"
