Long_sample_name,Sample,Antibiotic,Experiment,Day,Group,Mouse
Aerobic_LB,ALB,none,LB009,None,None,None
Aerobic_SOC,ASOC,none,LB009,None,None,None
Aerobic_M9,AM9,none,LB009,None,None,None
Aerobic_M9_Tet_1uM,AM9Tet1uM,none,LB009,None,None,None
Aerobic_M9_Tet_10uM,AM9Tet10uM,none,LB009,None,None,None
Aerobic_M9_Tet_100uM,AM9Tet100uM,none,LB009,None,None,None
Aerobic_M9_Nit_2mM,AM9Nit2mM,none,LB009,None,None,None
Aerobic_M9_Nit_20mM,AM9Nit20mM,none,LB009,None,None,None
Aerobic_M9_Epi_50uM,AM9Epi50uM,none,LB009,None,None,None
Aerobic_M9_HOCl,AM9HOCl1mM,none,LB009,None,None,None
Aerobic_M9_NaCl,AM9NaCl100mM,none,LB009,None,None,None
Aerobic_M9_Sucrose,AM9Suc8pct,none,LB009,None,None,None
Aerobic_M9_pH5,AM9pH5,none,LB009,None,None,None
Aerobic_M9_LimPO,AM9POLim,none,LB009,None,None,None
Aerobic_M9_LimK,AM9KLim,none,LB009,None,None,None
Aerobic_M9_Cit_50mM,AM9Cit50mM,none,LB009,None,None,None
Aerobic_M9_Fum_20mM,AM9Fum20mM,none,LB009,None,None,None
Aerobic_LB,ASLB,spec,LB009,None,None,None
Aerobic_SOC,ASSOC,spec,LB009,None,None,None
Aerobic_M9,ASM9,spec,LB009,None,None,None
Aerobic_M9_Tet_1uM,ASM9Tet1uM,spec,LB009,None,None,None
Aerobic_M9_Tet_10uM,ASM9Tet10uM,spec,LB009,None,None,None
Aerobic_M9_Tet_100uM,ASM9Tet100uM,spec,LB009,None,None,None
Aerobic_M9_Nit_2mM,ASM9Nit2mM,spec,LB009,None,None,None
Aerobic_M9_Nit_20mM,ASM9Nit20mM,spec,LB009,None,None,None
Aerobic_M9_Epi_50uM,ASM9Epi50uM,spec,LB009,None,None,None
Aerobic_M9_HOCl,ASM9HOCl1mM,spec,LB009,None,None,None
Aerobic_M9_NaCl,ASM9NaCl100mM,spec,LB009,None,None,None
Aerobic_M9_Sucrose,ASM9Suc8pct,spec,LB009,None,None,None
Aerobic_M9_pH5,ASM9pH5,spec,LB009,None,None,None
Aerobic_M9_LimPO,ASM9POLim,spec,LB009,None,None,None
Aerobic_M9_LimK,ASM9KLim,spec,LB009,None,None,None
Aerobic_M9_Cit_50mM,ASM9Cit50mM,spec,LB009,None,None,None
Aerobic_M9_Fum_20mM,ASM9Fum20mM,spec,LB009,None,None,None
Anaerobic_SOC,ANSOC,none,LB009,None,None,None
Anaerobic_M9,ANM9,none,LB009,None,None,None
Anaerobic_M9_Tet_1uM,ANM9Tet1uM,none,LB009,None,None,None
Anaerobic_M9_Tet_10uM,ANM9Tet10uM,none,LB009,None,None,None
Anaerobic_M9_Tet_100uM,ANM9Tet100uM,none,LB009,None,None,None
Anaerobic_M9_Nit_2mM,ANM9Nit2mM,none,LB009,None,None,None
Anaerobic_M9_Nit_20mM,ANM9Nit20mM,none,LB009,None,None,None
Anaerobic_M9_Epi_50uM,ANM9Epi50uM,none,LB009,None,None,None
Anaerobic_M9_HOCl,ANM9HOCl1mM,none,LB009,None,None,None
Anaerobic_M9_NaCl,ANM9NaCl100mM,none,LB009,None,None,None
Anaerobic_M9_Sucrose,ANM9Suc8pct,none,LB009,None,None,None
Anaerobic_M9_pH5,ANM9pH5,none,LB009,None,None,None
Anaerobic_M9_LimPO,ANM9POLim,none,LB009,None,None,None
Anaerobic_M9_LimK,ANM9KLim,none,LB009,None,None,None
Anaerobic_M9_Cit_50mM,ANM9Cit50mM,none,LB009,None,None,None
Anaerobic_M9_Fum_20mM,ANM9Fum20mM,none,LB009,None,None,None
Anaerobic_SOC,ANSSOC,spec,LB009,None,None,None
Anaerobic_M9,ANSM9,spec,LB009,None,None,None
Anaerobic_M9_Tet_1uM,ANSM9Tet1uM,spec,LB009,None,None,None
Anaerobic_M9_Tet_10uM,ANSM9Tet10uM,spec,LB009,None,None,None
Anaerobic_M9_Tet_100uM,ANSM9Tet100uM,spec,LB009,None,None,None
Anaerobic_M9_Nit_2mM,ANSM9Nit2mM,spec,LB009,None,None,None
Anaerobic_M9_Nit_20mM,ANSM9Nit20mM,spec,LB009,None,None,None
Anaerobic_M9_Epi_50uM,ANSM9Epi50uM,spec,LB009,None,None,None
Anaerobic_M9_HOCl,ANSM9HOCl1mM,spec,LB009,None,None,None
Anaerobic_M9_NaCl,ANSM9NaCl100mM,spec,LB009,None,None,None
Anaerobic_M9_Sucrose,ANSM9Suc8pct,spec,LB009,None,None,None
Anaerobic_M9_pH5,ANSM9pH5,spec,LB009,None,None,None
