"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"D11_G1M0","1046463","986429","986310","986307","985977","985963"
"D11_G1M0_Spec","28969","25761","25687","25701","25684","25684"
"D11_G1M1","995647","842445","842246","842277","838566","838564"
"D11_G1M1_Spec","1273419","1206722","1206603","1206650","1206090","1206078"
"D11_G1M2","1134551","1069140","1068953","1068990","1068596","1068586"
"D11_G1M2_Spec","1388751","1304820","1304669","1304665","1304075","1304013"
"D11_G1M3","195405","80504","80306","80402","79855","79855"
"D11_G1M3_Spec","1215982","1133024","1132906","1132892","1132718","1132718"
"D11_G2M0","1308563","1231960","1231772","1231787","1231428","1231418"
"D11_G2M0_Spec","1065788","1007238","1007129","1007118","1006730","1006725"
"D11_G2M1","1105080","1046928","1046848","1046872","1046407","1046407"
"D11_G2M1_Spec","1029423","949698","949546","949587","943460","943458"
"D11_G2M2","953438","880792","880714","880737","880468","880468"
"D11_G2M2_Spec","1027407","970443","970234","970308","968652","968610"
"D11_G2M3","12003","10303","10111","10154","10089","10089"
"D11_G2M3_Spec","1415239","1343673","1343500","1343465","1342809","1342701"
"D11_G3M0","1121182","1058436","1058326","1058374","1058078","1058076"
"D11_G3M0_Spec","1198420","1129559","1129231","1129304","1128974","1128955"
"D11_G3M1","887169","833227","833097","833122","832933","832930"
"D11_G3M1_Spec","1397354","1315430","1315030","1315057","1314634","1314601"
"D11_G3M2","932523","879777","879699","879716","879380","879380"
"D11_G3M2_Spec","1376265","1294899","1294533","1294570","1293297","1293233"
"D11_G3M3","1115745","1053633","1053475","1053563","1052889","1052881"
"D11_G3M3_Spec","1172649","1103077","1102719","1102756","1102330","1102280"
"D11_G4M0","1209656","1138538","1138413","1138423","1137993","1137989"
"D11_G4M0_Spec","1188066","1117094","1116805","1116865","1116405","1116380"
"D11_G4M1","1252917","1183243","1183063","1183106","1182663","1182657"
"D11_G4M1_Spec","1101513","1036798","1036563","1036573","1024351","1024341"
"D11_G4M2","1188747","1113726","1113616","1113614","1113329","1113325"
"D11_G4M2_Spec","1115320","1038376","1038190","1038238","1037815","1037799"
"D11_G4M3","247276","98860","98702","98771","98678","98629"
"D11_G4M3_Spec","754900","687879","687743","687788","687718","687716"
"D12_G1M0","1136902","1070996","1070853","1070934","1070493","1070485"
"D12_G1M0_Spec","1219789","1160355","1160045","1160246","1159158","1158801"
"D12_G1M1","1067217","1000776","1000705","1000727","1000139","999875"
"D12_G1M1_Spec","1337445","1257958","1257700","1257851","1256354","1255752"
"D12_G1M2","907550","817035","816995","816995","814584","814447"
"D12_G1M2_Spec","930488","879043","878814","878982","878055","877890"
"D12_G1M3","957096","906742","906629","906704","905545","905454"
"D12_G1M3_Spec","1087719","996080","995927","995922","995457","995119"
"D12_G2M0","926006","874437","874366","874358","873901","873894"
"D12_G2M0_Spec","1268840","1193677","1193471","1193489","1192979","1192948"
"D12_G2M1","1014399","958507","958347","958354","958071","958034"
"D12_G2M1_Spec","1310471","1233989","1233824","1233835","1233352","1233337"
"D12_G2M2","919643","856104","855980","855986","855843","855807"
"D12_G2M2_Spec","1681392","1586573","1586410","1586410","1585849","1585800"
"D12_G2M3","892187","820761","820568","820565","820364","820358"
"D12_G2M3_Spec","1152612","1043746","1043584","1043599","1043540","1043526"
"D12_G3M0","1135211","1068487","1068307","1068324","1068092","1067985"
"D12_G3M0_Spec","1364414","1293707","1293445","1293540","1292770","1292657"
"D12_G3M1","1139275","1051681","1051508","1051441","1051185","1051166"
"D12_G3M1_Spec","695882","632821","632691","632700","629039","629039"
"D12_G3M2","68644","18887","18681","18776","18668","18668"
"D12_G3M2_Spec","1458968","1378480","1378322","1378244","1377598","1377507"
"D12_G3M3","977004","913999","913857","913845","913576","913565"
"D12_G3M3_Spec","520879","296570","296326","296503","291427","291427"
"D12_G4M0","1369021","1282704","1282536","1282540","1279605","1279588"
"D12_G4M0_Spec","1377263","1284887","1284750","1284668","1283764","1283755"
"D12_G4M1","943474","872589","872491","872498","872422","872418"
"D12_G4M1_Spec","838803","790489","790369","790391","790199","790199"
"D12_G4M2","1518734","1397871","1397682","1397740","1397179","1397154"
"D12_G4M2_Spec","1085325","1012659","1012515","1012544","1010426","1010416"
"D12_G4M3","1276125","1157713","1157539","1157567","1157396","1157383"
"D12_G4M3_Spec","1208917","1139942","1139772","1139773","1138908","1138908"
"Gavage","973201","914994","914880","914893","913474","913466"
"Gavage_Spec","1357701","1276941","1276676","1276776","1276251","1276146"
