Name,# Sequences,Description
1,3,2 reads from C_rodentium_TCS1.fasta mapped to 1 using Bowtie2
1,4,3 reads from C_rodentium_TCS2 (reversed).fasta mapped to 1 using Bowtie2
1,5,4 reads from C_rodentium_TCS3.fasta mapped to 1 using Bowtie2
1,2,1 read from C_rodentium_TCS5 (reversed).fasta mapped to 1 using Bowtie2
1,4,3 reads from C_rodentium_TCS6 (reversed).fasta mapped to 1 using Bowtie2
1,3,2 reads from C_rodentium_TCS7 (reversed).fasta mapped to 1 using Bowtie2
1,3,2 reads from C_rodentium_TCS8.fasta mapped to 1 using Bowtie2
1,31,30 reads from C_rodentium_TCS9 (reversed).fasta mapped to 1 using Bowtie2
1,10345,"10,344 reads from C_rodentium_TCS10 (reversed).fasta mapped to 1 using Bowtie2"
1,6,5 reads from E_faecalis_TCS2 (reversed).fasta mapped to 1 using Bowtie2
1,2,1 read from E_faecalis_TCS3 (reversed).fasta mapped to 1 using Bowtie2
1,2,1 read from E_tarda_TCS2 (reversed).fasta mapped to 1 using Bowtie2
1,11,10 reads from E_tarda_TCS5 (reversed).fasta mapped to 1 using Bowtie2
1,8,7 reads from E_tarda_TCS6.fasta mapped to 1 using Bowtie2
1,11,10 reads from E_tarda_TCS7.fasta mapped to 1 using Bowtie2
1,7,6 reads from K_oxytoca_TCS1 (reversed).fasta mapped to 1 using Bowtie2
1,6,5 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 1 using Bowtie2
1,2,1 read from K_pneumonia_TCS4.fasta mapped to 1 using Bowtie2
1,4,3 reads from K_pneumonia_TCS7.fasta mapped to 1 using Bowtie2
1,184,183 reads from K_pneumoniae_TCS10.fasta mapped to 1 using Bowtie2
1,27,26 reads from pCR15  PCR Product.fasta mapped to 1 using Bowtie2
1,26,25 reads from pCR16  PCR Product.fasta mapped to 1 using Bowtie2
1,9,8 reads from pCR17 PCR Product.fasta mapped to 1 using Bowtie2
1,10,9 reads from pCR18  PCR Product.fasta mapped to 1 using Bowtie2
1,31,30 reads from pCR21 PCR Product.fasta mapped to 1 using Bowtie2
1,9,8 reads from pCR22  PCR Product.fasta mapped to 1 using Bowtie2
1,10,9 reads from pCR23  PCR Product.fasta mapped to 1 using Bowtie2
1,19,18 reads from pCR24 PCR Product.fasta mapped to 1 using Bowtie2
1,56,55 reads from S_enterica_TCS3.fasta mapped to 1 using Bowtie2
1,4,3 reads from S_enterica_TCS4.fasta mapped to 1 using Bowtie2
1,3,2 reads from S_enterica_TCS_ttrSRRIG.fasta mapped to 1 using Bowtie2
1,5,4 reads from V_cholera_TCS2 (reversed).fasta mapped to 1 using Bowtie2
1,3,2 reads from Y_enterocolitica_TCS3.fasta mapped to 1 using Bowtie2
2,2,1 read from B_frag_TCS3.fasta mapped to 2 using Bowtie2
2,2,1 read from C_rodentium_TCS3.fasta mapped to 2 using Bowtie2
2,2,1 read from C_rodentium_TCS4.fasta mapped to 2 using Bowtie2
2,2,1 read from C_rodentium_TCS6 (reversed).fasta mapped to 2 using Bowtie2
2,5,4 reads from C_rodentium_TCS9 (reversed).fasta mapped to 2 using Bowtie2
2,4,3 reads from C_rodentium_TCS10 (reversed).fasta mapped to 2 using Bowtie2
2,1714,"1,713 reads from E_faecalis_TCS2 (reversed).fasta mapped to 2 using Bowtie2"
2,2,1 read from E_tarda_TCS2 (reversed).fasta mapped to 2 using Bowtie2
2,2,1 read from E_tarda_TCS5 (reversed).fasta mapped to 2 using Bowtie2
2,2,1 read from K_pneumonia_TCS3 (reversed).fasta mapped to 2 using Bowtie2
2,4,3 reads from K_pneumoniae_TCS10.fasta mapped to 2 using Bowtie2
2,4,3 reads from pCR15  PCR Product.fasta mapped to 2 using Bowtie2
2,7,6 reads from pCR16  PCR Product.fasta mapped to 2 using Bowtie2
2,3,2 reads from pCR17 PCR Product.fasta mapped to 2 using Bowtie2
2,4,3 reads from pCR21 PCR Product.fasta mapped to 2 using Bowtie2
2,2,1 read from pCR22  PCR Product.fasta mapped to 2 using Bowtie2
2,4,3 reads from pCR23  PCR Product.fasta mapped to 2 using Bowtie2
2,3,2 reads from pCR24 PCR Product.fasta mapped to 2 using Bowtie2
2,2,1 read from S_enterica_TCS_ttrSRRIG.fasta mapped to 2 using Bowtie2
3,2,1 read from C_rodentium_TCS5 (reversed).fasta mapped to 3 using Bowtie2
3,1914,"1,913 reads from C_rodentium_TCS8.fasta mapped to 3 using Bowtie2"
3,4,3 reads from C_rodentium_TCS9 (reversed).fasta mapped to 3 using Bowtie2
3,3,2 reads from C_rodentium_TCS10 (reversed).fasta mapped to 3 using Bowtie2
3,2,1 read from E_tarda_TCS2 (reversed).fasta mapped to 3 using Bowtie2
3,2,1 read from E_tarda_TCS6.fasta mapped to 3 using Bowtie2
3,2,1 read from E_tarda_TCS7.fasta mapped to 3 using Bowtie2
3,2,1 read from K_pneumonia_TCS3 (reversed).fasta mapped to 3 using Bowtie2
3,2,1 read from L_gasseri_TCS1.fasta mapped to 3 using Bowtie2
3,4,3 reads from pCR15  PCR Product.fasta mapped to 3 using Bowtie2
3,5,4 reads from pCR16  PCR Product.fasta mapped to 3 using Bowtie2
3,2,1 read from pCR17 PCR Product.fasta mapped to 3 using Bowtie2
3,3,2 reads from pCR18  PCR Product.fasta mapped to 3 using Bowtie2
3,6,5 reads from pCR21 PCR Product.fasta mapped to 3 using Bowtie2
3,3,2 reads from pCR22  PCR Product.fasta mapped to 3 using Bowtie2
3,4,3 reads from pCR23  PCR Product.fasta mapped to 3 using Bowtie2
3,6,5 reads from pCR24 PCR Product.fasta mapped to 3 using Bowtie2
3,4,3 reads from S_enterica_TCS5.fasta mapped to 3 using Bowtie2
4,2,1 read from C_rodentium_TCS9 (reversed).fasta mapped to 4 using Bowtie2
4,2,1 read from C_rodentium_TCS10 (reversed).fasta mapped to 4 using Bowtie2
4,2,1 read from E_tarda_TCS2 (reversed).fasta mapped to 4 using Bowtie2
4,2,1 read from E_tarda_TCS6.fasta mapped to 4 using Bowtie2
4,3,2 reads from E_tarda_TCS7.fasta mapped to 4 using Bowtie2
4,2,1 read from pCR15  PCR Product.fasta mapped to 4 using Bowtie2
4,3,2 reads from pCR16  PCR Product.fasta mapped to 4 using Bowtie2
4,3,2 reads from pCR21 PCR Product.fasta mapped to 4 using Bowtie2
4,2,1 read from pCR22  PCR Product.fasta mapped to 4 using Bowtie2
4,3,2 reads from pCR23  PCR Product.fasta mapped to 4 using Bowtie2
4,2,1 read from S_enterica_TCS_ttrSRRIG.fasta mapped to 4 using Bowtie2
4,953,952 reads from V_cholera_TCS2 (reversed).fasta mapped to 4 using Bowtie2
5,370,369 reads from B_frag_TCS3.fasta mapped to 5 using Bowtie2
5,2,1 read from C_rodentium_TCS7 (reversed).fasta mapped to 5 using Bowtie2
5,2,1 read from C_rodentium_TCS9 (reversed).fasta mapped to 5 using Bowtie2
5,2,1 read from C_rodentium_TCS10 (reversed).fasta mapped to 5 using Bowtie2
5,2,1 read from E_tarda_TCS5 (reversed).fasta mapped to 5 using Bowtie2
5,3,2 reads from E_tarda_TCS7.fasta mapped to 5 using Bowtie2
5,2,1 read from K_pneumonia_TCS3 (reversed).fasta mapped to 5 using Bowtie2
5,2,1 read from K_pneumoniae_TCS10.fasta mapped to 5 using Bowtie2
5,2,1 read from pCR16  PCR Product.fasta mapped to 5 using Bowtie2
6,499,498 reads from B_frag_TCS3.fasta mapped to 6 using Bowtie2
6,2,1 read from C_rodentium_TCS6 (reversed).fasta mapped to 6 using Bowtie2
6,2,1 read from C_rodentium_TCS8.fasta mapped to 6 using Bowtie2
6,2,1 read from C_rodentium_TCS11 (reversed).fasta mapped to 6 using Bowtie2
6,3,2 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 6 using Bowtie2
6,3,2 reads from pCR15  PCR Product.fasta mapped to 6 using Bowtie2
6,2,1 read from pCR16  PCR Product.fasta mapped to 6 using Bowtie2
6,2,1 read from pCR18  PCR Product.fasta mapped to 6 using Bowtie2
6,2,1 read from pCR24 PCR Product.fasta mapped to 6 using Bowtie2
7,235,234 reads from B_frag_TCS3.fasta mapped to 7 using Bowtie2
7,2,1 read from C_rodentium_TCS2 (reversed).fasta mapped to 7 using Bowtie2
7,2,1 read from E_tarda_TCS2 (reversed).fasta mapped to 7 using Bowtie2
7,2,1 read from pCR15  PCR Product.fasta mapped to 7 using Bowtie2
7,2,1 read from pCR22  PCR Product.fasta mapped to 7 using Bowtie2
8,41,40 reads from B_producta_TCS1.fasta mapped to 8 using Bowtie2
8,2,1 read from pCR23  PCR Product.fasta mapped to 8 using Bowtie2
9,2,1 read from C_rodentium_TCS3.fasta mapped to 9 using Bowtie2
9,2,1 read from C_rodentium_TCS7 (reversed).fasta mapped to 9 using Bowtie2
9,1569,"1,568 reads from C_rodentium_TCS9 (reversed).fasta mapped to 9 using Bowtie2"
9,2,1 read from C_rodentium_TCS10 (reversed).fasta mapped to 9 using Bowtie2
9,2,1 read from E_faecalis_TCS2 (reversed).fasta mapped to 9 using Bowtie2
9,3,2 reads from E_tarda_TCS7.fasta mapped to 9 using Bowtie2
9,29,28 reads from K_oxytoca_TCS1 (reversed).fasta mapped to 9 using Bowtie2
9,3,2 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 9 using Bowtie2
9,2,1 read from K_pneumonia_TCS7.fasta mapped to 9 using Bowtie2
9,2,1 read from K_pneumoniae_TCS10.fasta mapped to 9 using Bowtie2
9,3,2 reads from pCR15  PCR Product.fasta mapped to 9 using Bowtie2
9,3,2 reads from pCR16  PCR Product.fasta mapped to 9 using Bowtie2
9,3,2 reads from pCR17 PCR Product.fasta mapped to 9 using Bowtie2
